,ra,dec,grade
1,015.8164,+00.0823,a
2,016.3319,+01.7490,a
3,016.5230,+00.5463,a
4,018.1074,+02.3773,a
5,019.4949,-05.4550,a
6,019.6618,-05.4441,a
7,022.7106,-16.0024,a
8,024.1631,+00.1384,a
9,025.2755,-17.2232,a
10,026.1390,-11.7026,a
11,026.2679,-04.9310,a
12,026.4848,+04.0413,a
13,027.3284,-13.8180,a
14,027.9723,-14.8069,a
15,029.6032,-00.6665,a
16,030.2832,-15.8547,a
17,031.1712,-15.0266,a
18,036.1436,-00.0411,a
19,036.4422,-07.6274,a
20,037.0378,-12.8812,a
21,038.2078,-03.3906,a
22,040.3034,-00.9646,a
23,040.3168,-06.5372,a
24,041.5205,-06.1275,a
25,060.1043,-16.3979,a
26,060.2420,-13.9567,a
27,122.0852,+10.5284,a
28,133.5531,-04.4026,a
29,133.6197,+10.1374,a
30,135.3125,+09.9401,a
31,137.8568,+14.2991,a
32,140.8110,+18.4954,a
33,141.0626,+05.7690,a
34,143.3887,+09.3219,a
35,145.9507,+00.9906,a
36,152.0763,+31.7005,a
37,154.6972,-01.3590,a
38,155.7366,-05.0529,a
39,160.2351,-01.0663,a
40,162.4577,+05.7749,a
41,165.6876,+12.1864,a
42,168.2943,+23.9443,a
43,186.3033,-00.4390,a
44,186.8292,+17.4324,a
45,189.5370,+15.0309,a
46,194.5344,+03.5358,a
47,202.6690,+04.6707,a
48,204.0002,-03.5250,a
49,213.6664,+19.4787,a
50,214.6278,+25.1814,a
51,215.2654,+00.3719,a
52,216.8280,-06.7541,a
53,216.9538,+08.1792,a
54,219.7907,+12.1404,a
55,219.9855,+32.8402,a
56,318.0376,-01.7568,a
57,319.3483,-00.9478,a
58,349.5492,-11.1012,a
59,359.8897,+02.1399,a
60,005.6187,+01.8037,b
61,009.1701,+00.7687,b
62,009.9772,-12.2100,b
63,010.2401,-09.0954,b
64,010.2876,-00.7303,b
65,010.3630,-01.1298,b
66,011.0219,-04.8058,b
67,011.9235,-06.1032,b
68,012.5310,-18.6438,b
69,014.0105,+03.0152,b
70,014.0683,-01.3924,b
71,014.0730,-02.4262,b
72,014.4452,-16.7457,b
73,014.6199,-00.4627,b
74,015.0641,-00.2718,b
75,015.0721,+00.0027,b
76,015.2668,-17.5344,b
77,015.2991,+00.1673,b
78,015.3533,-17.0192,b
79,015.3806,+00.5700,b
80,015.4415,+03.2399,b
81,015.5430,-00.3184,b
82,015.6201,-00.4207,b
83,015.6531,-00.0963,b
84,015.9831,+00.3187,b
85,016.1439,-00.5185,b
86,016.2119,+00.4207,b
87,016.2273,+00.0668,b
88,016.2921,-18.3895,b
89,016.3969,+00.1169,b
90,016.5355,-00.2139,b
91,016.7876,+01.2914,b
92,016.8597,+03.2136,b
93,016.9695,-14.4480,b
94,017.0297,-03.5796,b
95,017.4350,-14.6600,b
96,017.5240,-02.5417,b
97,018.0754,-04.5830,b
98,018.1714,-19.0457,b
99,018.2548,-03.7210,b
100,018.4039,-18.9942,b
101,020.4712,-17.9274,b
102,020.7598,-13.2227,b
103,022.3389,+00.6547,b
104,023.6765,+04.5639,b
105,029.0400,-10.4926,b
106,034.9916,-14.9460,b
107,035.0816,-04.1971,b
108,035.7821,-05.4661,b
109,036.0677,-16.3767,b
110,036.2542,-05.6058,b
111,036.3915,-05.0365,b
112,036.4490,-15.0922,b
113,037.0236,-05.2927,b
114,038.9951,-06.0696,b
115,040.5720,-16.4116,b
116,040.7053,-00.5888,b
117,040.8111,-00.1499,b
118,041.4742,-00.7052,b
119,041.9391,-00.5247,b
120,046.4723,-14.8812,b
121,047.7087,-17.7748,b
122,047.7647,-13.2341,b
123,060.0471,-15.8799,b
124,060.8033,-15.2161,b
125,060.8089,-15.0458,b
126,061.1134,-17.2082,b
127,061.1909,-14.5760,b
128,063.6323,-04.5427,b
129,131.3607,+00.0361,b
130,134.0057,-07.2488,b
131,135.9714,+07.1954,b
132,140.8863,+20.3278,b
133,143.0565,-05.6041,b
134,144.1511,+08.8633,b
135,144.4242,+31.4659,b
136,144.6321,-04.2535,b
137,145.0099,+05.4279,b
138,150.0945,+00.0047,b
139,150.8860,-02.9493,b
140,154.5307,-00.1368,b
141,154.7654,+17.0697,b
142,155.4865,+11.2037,b
143,157.9622,+01.7544,b
144,158.7893,-02.3037,b
145,167.8517,+14.1473,b
146,170.6983,+25.2669,b
147,192.0242,-06.5158,b
148,194.5900,+15.6322,b
149,194.8376,+11.6490,b
150,201.7783,+02.2129,b
151,201.7841,-02.2996,b
152,202.3729,+31.3290,b
153,204.1663,-05.7814,b
154,204.6057,+28.3294,b
155,211.0927,+02.7242,b
156,216.1003,+25.2423,b
157,217.1429,-07.0963,b
158,217.4784,+12.0433,b
159,219.0374,-01.3295,b
160,219.9228,+00.5073,b
161,241.0592,+06.4200,b
162,241.5432,+14.1008,b
163,317.3884,+05.1456,b
164,328.5453,+00.6329,b
165,351.4891,-00.8741,b
166,005.7434,+00.1667,c
167,009.9958,+00.5677,c
168,010.2439,-02.0572,c
169,013.5957,-05.7105,c
170,013.9264,-01.0692,c
171,013.9873,-00.6495,c
172,014.6980,+00.2355,c
173,014.7160,-00.3509,c
174,015.0586,+01.8480,c
175,015.1785,-18.8779,c
176,015.1912,+03.7221,c
177,015.2403,-16.9542,c
178,015.2570,-17.7561,c
179,015.3628,-00.9079,c
180,015.3792,-03.3438,c
181,015.8070,-17.7531,c
182,015.9669,-18.0271,c
183,016.1507,-00.5780,c
184,016.1763,-02.4491,c
185,016.1889,-00.5809,c
186,016.2032,-00.6226,c
187,016.2995,-00.0690,c
188,016.3200,+00.9163,c
189,016.4625,+02.8614,c
190,016.4883,-00.1774,c
191,016.5355,-00.2139,c
192,016.8009,-16.8580,c
193,016.8554,-00.7320,c
194,016.9199,-05.3919,c
195,016.9228,-03.8680,c
196,016.9682,+00.3567,c
197,017.2362,-17.9241,c
198,018.0415,+00.1861,c
199,018.4701,+03.4968,c
200,019.8976,-12.8253,c
201,020.3517,+00.1654,c
202,020.5273,-04.8117,c
203,021.5439,-00.5883,c
204,021.8518,-05.7560,c
205,021.9637,+00.0975,c
206,022.6104,-15.3370,c
207,023.6659,-06.9344,c
208,023.7790,+01.5306,c
209,024.7012,-07.5349,c
210,025.8361,-10.0680,c
211,026.2451,-01.5934,c
212,026.2771,-00.7284,c
213,027.5388,-12.3284,c
214,027.8872,-08.5764,c
215,028.2710,-09.8289,c
216,028.3093,-00.4385,c
217,028.8348,-13.9044,c
218,029.1778,-10.1834,c
219,030.8114,-09.1587,c
220,031.8778,-14.8046,c
221,033.9735,-12.6841,c
222,034.0253,-04.5771,c
223,034.3281,-05.1331,c
224,035.7202,-03.9575,c
225,035.8285,-04.3979,c
226,035.8379,-07.3794,c
227,035.8438,-06.3246,c
228,035.8660,-18.4836,c
229,035.9027,-06.8806,c
230,035.9185,-05.8453,c
231,035.9393,-04.4005,c
232,036.0184,-04.4084,c
233,036.0256,-06.4796,c
234,036.0536,-06.1645,c
235,036.0653,-05.8029,c
236,036.0879,+00.0726,c
237,036.1151,-05.2254,c
238,036.1457,-05.4990,c
239,036.2194,-04.3486,c
240,036.2244,-06.3029,c
241,036.2714,-06.8192,c
242,036.3530,-04.6792,c
243,036.3795,-04.2093,c
244,036.4031,-04.2550,c
245,036.4081,-05.2473,c
246,036.4827,-16.8621,c
247,036.6282,-04.6316,c
248,036.4268,-05.1548,c
249,036.6556,-03.7101,c
250,036.6760,-03.6801,c
251,036.6777,-03.6555,c
252,036.6819,-03.6905,c
253,036.7198,+00.2833,c
254,036.7325,-05.1276,c
255,036.8076,-05.0255,c
256,036.8133,-03.9033,c
257,036.9560,-06.1539,c
258,037.0345,-04.5015,c
259,037.1686,-04.0027,c
260,037.2011,-04.1161,c
261,037.2064,-01.2158,c
262,037.2945,+03.7522,c
263,037.4766,+03.1089,c
264,038.2709,-10.4498,c
265,038.8461,-10.5125,c
266,039.0463,-06.3428,c
267,039.2003,+03.3583,c
268,039.9261,-01.4632,c
269,040.6372,-12.1891,c
270,040.6769,-00.6487,c
271,040.7046,+02.2423,c
272,040.8745,-01.9373,c
273,041.3678,-01.2016,c
274,041.4318,-08.6492,c
275,041.5548,-00.7524,c
276,041.7915,-08.4225,c
277,041.9910,-00.7425,c
278,042.2156,-00.5329,c
279,042.9152,-00.5600,c
280,046.6993,-15.0593,c
281,047.3321,-13.5368,c
282,060.4389,-14.7568,c
283,060.6860,-15.7303,c
284,061.0991,-14.3883,c
285,064.4878,-03.6133,c
286,125.6392,-00.4650,c
287,131.8556,+14.2550,c
288,138.6664,-00.0821,c
289,149.1942,+00.7137,c
290,150.2022,+01.6538,c
291,150.4045,+02.5544,c
292,151.2006,-03.7158,c
293,151.7664,+02.1430,c
294,151.9855,+02.4052,c
295,152.5264,-01.9658,c
296,152.8042,-02.0432,c
297,153.0462,-00.8142,c
298,154.3116,+02.4885,c
299,155.4226,+00.6966,c
300,158.0944,+15.8846,c
301,158.8311,-00.5674,c
302,170.8533,+15.1850,c
303,176.2181,+08.9457,c
304,180.0490,-00.4182,c
305,181.9442,+27.6152,c
306,184.3703,+15.6730,c
307,193.6112,-08.7744,c
308,201.4063,+04.1883,c
309,203.3751,-02.1804,c
310,204.7174,-08.3381,c
311,205.7370,+22.6135,c
312,210.3880,+13.3370,c
313,212.6868,-07.1025,c
314,240.0759,+05.6966,c
315,240.3397,+05.0773,c
316,240.4006,+05.5796,c
317,240.5350,+06.0657,c
318,240.7203,+06.5371,c
319,241.2494,+06.8555,c
320,241.3833,+15.8226,c
321,241.7841,+07.0210,c
322,241.8463,+07.1753,c
323,242.0285,+03.8786,c
324,242.4262,+06.1599,c
325,249.9825,+19.0354,c
326,251.0765,+01.6752,c
327,251.1722,+04.9724,c
328,317.2431,+03.9841,c
329,319.7989,+00.0575,c
330,338.0990,+01.5111,c
331,351.1264,-11.6503,c
332,351.1287,-11.2566,c
333,351.1413,-12.4955,c
334,351.2285,-11.6281,c
335,351.2576,-12.7728,c
336,351.3096,-12.5492,c
337,351.3891,-12.0013,c
338,351.4008,-11.9943,c
339,351.4290,-12.2431,c
340,351.4915,-11.6013,c
341,351.5372,-11.3464,c
